シーズン,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,スタジアム,入場者数,インターネット中継・TV放送
2019,Ｊ１,第２３節第１日,19/08/17(土),19:03,FC東京,0-1,広島,味スタ,30015,ＤＡＺＮ
2019,Ｊ１,第３２節第２日,19/11/23(土・祝),14:03,FC東京,1-1,湘南,味スタ,34250,ＤＡＺＮ／ＮＨＫ総合
2019,Ｊ１,第３３節第１日,19/11/30(土),14:04,FC東京,1-1,浦和,味スタ,40202,ＤＡＺＮ／ＴＯＫＹＯ　ＭＸ／テレ玉
2020,Ｊ１,第３節第１日,20/07/08(水),19:33,FC東京,0-4,川崎Ｆ,味スタ,0,ＤＡＺＮ
2020,Ｊ１,第５節第１日,20/07/18(土),19:03,FC東京,2-0,浦和,味スタ,4705,ＤＡＺＮ／ＮＨＫ　ＢＳ１／ＴＯＫＹＯ　ＭＸ
2020,Ｊ１,第８節第１日,20/08/01(土),19:03,FC東京,2-3,鳥栖,味スタ,4760,ＤＡＺＮ／ＮＨＫ　ＢＳ１
2020,Ｊ１,第１０節第１日,20/08/15(土),19:03,FC東京,1-0,名古屋,味スタ,4435,ＤＡＺＮ
2020,Ｊ１,第１２節第２日,20/08/23(日),19:03,FC東京,3-0,湘南,味スタ,4599,ＤＡＺＮ／ＴＯＫＹＯ　ＭＸ
2020,Ｊ１,第２６節第１日,20/08/26(水),19:03,FC東京,1-2,鹿島,味スタ,4390,ＤＡＺＮ
2020,Ｊ１,第１５節第１日,20/09/09(水),19:03,FC東京,2-1,横浜FC,味スタ,4941,ＤＡＺＮ／ＮＨＫ　ＢＳ１
2020,Ｊ１,第２４節第２日,20/09/16(水),19:03,FC東京,2-3,大分,味スタ,4782,ＤＡＺＮ
2020,Ｊ１,第１７節第２日,20/09/20(日),19:03,FC東京,1-0,仙台,味スタ,4981,ＤＡＺＮ／ＴＯＫＹＯ　ＭＸ
2020,Ｊ１,第１８節第１日,20/09/23(水),19:03,FC東京,2-0,Ｃ大阪,味スタ,4316,ＤＡＺＮ／ＮＨＫ　ＢＳ１
2020,Ｊ１,第２１節第１日,20/10/10(土),14:03,FC東京,0-1,Ｇ大阪,味スタ,8166,ＤＡＺＮ
2020,Ｊ１,第２２節第１日,20/10/14(水),19:03,FC東京,3-1,清水,味スタ,3812,ＤＡＺＮ／ＮＨＫ　ＢＳ１
2020,Ｊ１,第２８節第１日,20/10/24(土),15:03,FC東京,0-4,横浜FM,味スタ,9518,ＤＡＺＮ　ＡＦＣチャンピオンズリーグ２０２０の日程等に伴い、８月４日の発表時より日程が変更となっております。
2020,Ｊ１,第３０節第１日,20/10/28(水),19:03,FC東京,1-3,柏,味スタ,6632,ＤＡＺＮ　ＡＦＣチャンピオンズリーグ２０２０の日程等に伴い、８月４日の発表時より日程が変更となっております。
2020,Ｊ１,第３３節第２日,20/11/11(水),19:03,FC東京,1-0,札幌,味スタ,6357,ＤＡＺＮ　ＡＦＣチャンピオンズリーグ２０２０の日程等に伴い、８月４日の発表時より日程が変更となっております。
2020,Ｊ１,第３１節第５日,20/12/12(土),14:03,FC東京,1-0,広島,味スタ,9755,ＤＡＺＮ　ＡＦＣチャンピオンズリーグ２０２０の日程等に伴い、８月４日の発表時より日程が変更となっております。
2020,Ｊ１,第３４節第１日,20/12/19(土),14:03,FC東京,1-0,神戸,味スタ,14373,ＤＡＺＮ
2021,Ｊ１,第２節第１日,21/03/06(土),14:03,FC東京,3-2,Ｃ大阪,味スタ,4768,ＤＡＺＮ／ＴＯＫＹＯ　ＭＸ
2021,Ｊ１,第３節第１日,21/03/10(水),18:03,FC東京,2-3,神戸,味スタ,4707,ＤＡＺＮ
2021,Ｊ１,第５節第１日,21/03/17(水),18:01,FC東京,3-2,湘南,味スタ,4133,ＤＡＺＮ／ＮＨＫ　ＢＳ１
